rank,name,name_ascii,institution,country,arxiv_rank,openalex_rank,zbmath_rank,arxiv_papers,openalex_works,openalex_citations,zbmath_papers,overall_h_index,h_index_source,first_active_year,last_active_year,birth_year,doctoral_advisor,orcid,wikidata_id
1,István Gaál,Istvan Gaal,University of Debrecen,HU,2,1,43,8,13,232,,19,openalex,1988,2021,,,,
2,shifa liu,shifa liu,Peking University,CN,,2,,,8,0,,,,2025,2025,,,,
3,Florian Luca,Florian Luca,Stellenbosch University,ZA,,13,4,1,3,15,,28,openalex,2002,2019,,,,
4,Shabnam Akhtari,Shabnam Akhtari,Pennsylvania State University,US,4,,24,6,,,,5,openalex,2009,2022,,,,
5,Christopher Pompetzki,Christopher Pompetzki,,,,3,,,8,0,,,,2026,2026,,,,
6,Lukas Cain,Lukas Cain,,,,4,,,6,0,,,,2025,2025,,,,
7,Kálmán Győry,Kalman Gyory,University of Debrecen,HU,17,,8,6,1,0,,24,openalex,2005,2005,,,,
8,Nikos Tzanakis,Nikos Tzanakis,University of Crete,GR,,5,,1,4,198,,23,openalex,1991,1994,,,,
9,"Rosales, J. C.","Rosales, J. C.",,,,,1,,,,,,,,,,,,
10,László Remete,Laszlo Remete,University of Debrecen,HU,5,,,5,1,2,,5,openalex,2016,2016,,,,
11,Michael Pohst,Michael Pohst,Technische Universität Berlin,DE,,6,,,4,56,,24,openalex,2000,2011,,,,
12,Hector Pasten,Hector Pasten,Pontificia Universidad Católica de Chile,CL,1,,66,11,1,11,,8,openalex,2016,2016,,,,
13,Tobias Hilgart,Tobias Hilgart,University of Salzburg,AT,6,,,5,,,,1,openalex,2021,2024,,,,
14,Nigel P. Smart,Nigel P. Smart,"Czech Academy of Sciences, Institute of Mathematics",CZ,,7,,,4,7,,62,openalex,1996,1998,,,,
15,Ariyan Javanpeykar,Ariyan Javanpeykar,Johannes Gutenberg University Mainz,DE,7,,,6,1,0,,11,openalex,2019,2019,,,,
16,"Brüdern, Jörg","Brudern, Jorg",University of Stuttgart,DE,,,9,,,,,,,1991,2024,,,,
17,"Bugeaud, Yann","Bugeaud, Yann",,,,,3,1,1,0,,,,2014,2014,,,,
18,Vlasie Catalin Mircea,Vlasie Catalin Mircea,,,,8,,,4,0,,,,2025,2026,,,,
19,Jan-Hendrik Evertse,Jan-Hendrik Evertse,Leiden University,NL,64,,2,3,,,,23,openalex,2011,2018,,,,
20,Ingrid Vukusic,Ingrid Vukusic,University of Waterloo,CA,8,,,4,,,,2,openalex,2021,2025,,,,
21,"Vaaler, Jeffrey D.","Vaaler, Jeffrey D.",,,,,10,,,,,,,,,,,,
